Last tracked,Type,Reg Year,Emission Class,Livery,Branding,Name,Previous reg,Special features,,,,,
T83,LJ59 AAE,2009,EURO V,,,ADL Enviro400,Arriva Training Bus,,,,,,
4464,MX61 AXD,2011,EURO V,79,9:53,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4469,MX61 AXK,2011,EURO V,9,7/14/22 7:10,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4470,MX61 AXM,2011,EURO V,12,9:32,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4471,MX61 AXN,2011,EURO V,7,6/29/22 7:54,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4455,MX61 AXS,2011,EURO V,71,9:50,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4460,MX61 AXY,2011,EURO V,71,9:49,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4463,MX61 AYB,2011,EURO V,12,9:15,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4450,MX61 AYJ,2011,EURO V,3,7/13/22 11:42,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
4452,MX61 AYL,2011,EURO V,7,8:35,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,,Flickr,Edit,
6471,SN58 EOA,2008,EURO V,101,9:36,ADL Enviro400,Arriva Journey Mark,,,USB power,Flickr,Edit,
6472,SN58 EOB,2008,EURO V,101,9:41,ADL Enviro400,Arriva Journey Mark,,,,Flickr,Edit,
1522,YJ09 OTY,2009,EURO V,219,9:16,Optare Solo,Arriva Journey Mark,,,,Flickr,Edit,
1518,YJ11 OHK,2011,EURO V,219,8/1/22 20:29,Optare Solo,Arriva Interurban,,,,Flickr,Edit,
1519,YJ58 CCF,2008,EURO V,211,7/28/22 8:26,Optare Solo SR,Arriva Journey Mark,Eddie Baldwin,,,Flickr,Edit,
1503,YJ58 CEF,2008,EURO V,281,7/29/22 18:48,Optare Solo SR,Arriva Journey Mark,,,,Flickr,Edit,
1524,YK08 ERO,2008,EURO V,211,9:32,Optare Solo,Arriva Journey Mark,,,,Flickr,Edit,
1526,YK08 ETA,2008,EURO V,277,10:06,Optare Solo,Arriva Journey Mark,,,,Flickr,Edit,
4279,GN14 DXX,2014,EURO VI,82,9:46,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4280,GN14 DXY,2014,EURO VI,334,8:50,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4281,GN14 DXZ,2014,EURO VI,120,9:38,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4282,GN14 DYA,2014,EURO VI,85,9:51,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4283,GN14 DYB,2014,EURO VI,3,9:46,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4284,GN14 DYC,2014,EURO VI,85,9:52,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
1655,GN14 DYJ,2014,EURO VI,182,9:49,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4263,GN14 DYP,2014,EURO VI,133,9:45,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4289,GN15 CWG,2015,EURO VI,190,10:00,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4290,GN15 CWJ,2015,EURO VI,700,9:47,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4291,GN15 CWK,2015,EURO VI,190,8:37,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4292,GN15 CWL,2015,EURO VI,176,9:05,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4293,GN15 CWM,2015,EURO VI,166,9:24,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4294,GN15 CWO,2015,EURO VI,85,8/2/22 12:51,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4295,GN15 CWP,2015,EURO VI,3,7/4/22 7:07,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4296,GN15 CWR,2015,EURO VI,X1,9:00,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4297,GN15 CWT,2015,EURO VI,82,10:10,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4298,GN15 CWU,2015,EURO VI,700,9:43,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4299,GN15 CWV,2015,EURO VI,173,10:02,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4300,GN15 CWW,2015,EURO VI,176,9:09,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4308,GN15 CXE,2015,EURO VI,176,8:41,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4309,GN15 CXF,2015,EURO VI,176,9:30,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4310,GN15 CXG,2015,EURO VI,190,9:00,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4311,GN15 CXH,2015,EURO VI,116,9:12,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4312,GN15 CXJ,2015,EURO VI,182,10:29,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
4313,GN15 CXK,2015,EURO VI,190,9:40,Wright StreetLite DF,Arriva Journey Mark,,,power sockets,Flickr,Edit,
