Last tracked,,Type,Reg Year,Emission Class,Livery,Name,Previous reg,Special features
4460,MX61 AXY,72,61,EURO V,21 Jan 17:30,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4463,MX61 AYB,71,61,EURO V,29 Dec 18:21,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4464,MX61 AXD,82,61,EURO V,21 Jan 23:08,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4469,MX61 AXK,71,61,EURO V,16:00,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4470,MX61 AXM,5,61,EURO V,19 Jan 19:40,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4471,MX61 AXN,82,61,EURO V,16:23,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
6005,KL52 CWU,402B,52,EURO III,12 Jan 6:51,DAF DB250 Alexander ALX400,Arriva Interurban,
6007,KL52 CWW,6,52,EURO III,20 Jan 18:20,DAF DB250 Alexander ALX400,Arriva Interurban,
6127,LJ51 DHN,7,51,EURO III,15:46,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6129,LJ51 DHC,402,51,EURO III,21 Jan 8:26,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6132,LJ03 MHV,402,3,EURO III,21 Jan 15:59,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6136,LF02 PSO,402,2,EURO III,20 Jan 17:20,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6138,FJ06 ZPX,7,6,EURO III,16:20,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6139,FJ06 ZPW,12,6,EURO III,20 Jan 9:45,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6141,FJ56 OBD,575,56,EURO IV,20 Jan 15:40,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6143,FJ56 OBC,7,56,EURO IV,20 Jan 19:49,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6144,FJ56 OBE,4,56,EURO IV,20 Jan 17:00,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6146,TUI 7939,12,"7,939",N/A,16:15,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6147,TUI 7940,72,"7,940",N/A,20 Jan 18:07,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,
6149,UUI 2907,576,"2,907",N/A,20 Jan 15:10,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6150,UUI 2905,77X,"2,905",N/A,20 Jan 15:54,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
6151,UUI 2906,6X,"2,906",N/A,16:40,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,
