,LineRef,OriginName,DestinationName,OriginAimedDepartureTime,VehicleRef,VehicleLocation.Longitude,VehicleLocation.Latitude
7395,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T14:18:00+00:00,1642,0.603535,51.365031
7396,79,The_Hedges,Calder_Road_Corner,2022-10-12T14:27:00+00:00,4460,0.517483,51.286068
7397,71,Chequers_Bus_Station,Railway_Station,2022-10-12T14:10:00+00:00,6149,0.434263,51.306995
7398,191,Wylie_Road,Waterfront_Bus_Station,2022-10-12T14:03:00+00:00,6405,0.512371,51.382695
7399,5,The_Swan,King_Street,2022-10-12T13:46:00+00:00,6448,0.522758,51.269808
7400,349,Bus_Hub,Bus_Hub,2022-10-12T14:47:00+00:00,1635,0.735405,51.341383
7401,700,Bus_Station,Waterfront_Bus_Station,2022-10-12T14:23:00+00:00,6477,0.498475,51.393896
7402,101,Pudding_Lane,Duncan_Road,2022-10-12T14:36:00+00:00,6483,0.512041,51.30771
7403,3,Chequers_Bus_Station,Maidstone_Hospital,2022-10-12T14:46:00+00:00,4282,0.526565,51.27178
7404,9,Hundred_of_Hoo_Academy_Grounds,Lapwing_Road,2022-10-12T14:10:00+00:00,6420,0.696933,51.449431
7405,X2,Railway_Station,Asda,2022-10-12T14:37:00+00:00,4072,0.412913,51.272198
7406,695,Breton_Road,Littlecroft,2022-10-12T15:30:00+00:00,1652,0.498484,51.364125
7407,89,King_Street,Spice_Lounge,2022-10-12T14:49:00+00:00,4126,0.526976,51.273546
7408,141,Bligh_Way_Shops,Waterfront_Bus_Station,2022-10-12T14:49:00+00:00,6402,0.466796,51.393283
7409,177,Village_Centre,Victoria_Street,2022-10-12T14:46:00+00:00,4308,0.518708,51.345721
7410,4,Chequers_Bus_Station,Pennine_Way,2022-10-12T14:41:00+00:00,6143,0.562375,51.269103
7411,668,Breton_Road,Lion_Garage,2022-10-12T15:35:00+00:00,6480,0.499105,51.373021
7412,101,Pudding_Lane,Duncan_Road,2022-10-12T14:12:00+00:00,6484,0.53667,51.39097
7413,182,Waterfront_Bus_Station,Beechings_Green,2022-10-12T14:39:00+00:00,4264,0.537446,51.390258
7414,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T14:18:00+00:00,4271,0.540261,51.389716
7415,9,Tesco,Chequers_Bus_Station,2022-10-12T14:45:00+00:00,4296,0.546325,51.284713
7416,101,Duncan_Road,The_Cannon,2022-10-12T14:29:00+00:00,6473,0.536673,51.390605
7417,71,Railway_Station,Chequers_Bus_Station,2022-10-12T13:50:00+00:00,4063,0.526455,51.27212
7419,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T14:30:00+00:00,4310,0.569871,51.37079
7420,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:30:00+00:00,4319,0.548726,51.366778
7422,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:50:00+00:00,4314,0.54424,51.335031
7423,140,Waterfront_Bus_Station,Bligh_Way_Shops,2022-10-12T14:37:00+00:00,4058,0.49762,51.394351
7425,191,Waterfront_Bus_Station,Lapwing_Road,2022-10-12T14:02:00+00:00,6410,0.589218,51.451983
7426,3,Maidstone_Hospital,Chequers_Bus_Station,2022-10-12T14:40:00+00:00,4283,0.482529,51.269271
7429,166,Waterfront_Bus_Station,The_Kestrel_Shopping_Centre,2022-10-12T14:35:00+00:00,4313,0.535958,51.377535
7430,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T14:06:00+00:00,6411,0.597956,51.343551
7435,1,Chatham_Railway_Station,The_Strand,2022-10-12T14:38:00+00:00,4051,0.533381,51.396736
7436,85,Freeman_Way,Chequers_Bus_Station,2022-10-12T14:41:00+00:00,6152,0.551671,51.254193
7437,101,Pudding_Lane,Duncan_Road,2022-10-12T14:24:00+00:00,6475,0.519316,51.366705
7438,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:40:00+00:00,1651,0.536151,51.339291
7439,177,Village_Centre,Victoria_Street,2022-10-12T14:20:00+00:00,4263,0.524125,51.385023
7440,8,Maidstone_Hospital,Chequers_Bus_Station,2022-10-12T14:21:00+00:00,4464,0.526788,51.272168
7442,7,Chequers_Bus_Station,Railway_Station,2022-10-12T14:25:00+00:00,6136,0.421001,51.25608
