Last tracked,,Type,Livery,Name,Previous reg,Special features,,
3993,GN07 DMF,3,15:37,ADL Enviro200,Arriva Interurban,,,
4005,LX56 DZZ,177,10 Nov 19:12,ADL Enviro200,Arriva Journey Mark,,,
4006,LX56 DZY,176,15:24,ADL Enviro200,Arriva Journey Mark,,,
4007,LX56 DZW,164,15:42,ADL Enviro200,Arriva Journey Mark,,,
4013,GN58 BTV,85,13:53,ADL Enviro200,Arriva Journey Mark,,,
4014,GN58 BTX,3,15:46,ADL Enviro200,Arriva Interurban,,,
4048,GN09 AWZ,3,11:02,ADL Enviro200,Arriva Interurban,,,
4054,GN09 AXG,694,15:35,ADL Enviro200,Arriva Interurban,,,
4055,GN09 AXH,85,15:44,ADL Enviro200,Arriva Interurban,,,
4056,GN09 AXJ,89,15:59,ADL Enviro200,Arriva Journey Mark,,,
4057,GN09 AXK,72,14:50,ADL Enviro200,Arriva Cotswold Stone,,,
4058,GN09 AXM,140,15:42,ADL Enviro200,Arriva Cotswold Stone,,,
4059,GN09 AXO,101,15:39,ADL Enviro200,Arriva Cotswold Stone,,,
4060,GN59 FVB,693,15:28,ADL Enviro200,Arriva Interurban,,,
4061,GN59 FVC,191,13:15,ADL Enviro200,Arriva Interurban,,,
4063,GN59 FVE,82,14:10,ADL Enviro200,Arriva Interurban,,,
4064,GN59 FVF,89,22 Oct 10:30,ADL Enviro200,Arriva Interurban,,,
4065,GN59 FVG,89,15:24,ADL Enviro200,Arriva Interurban,,,
4066,GN59 FVH,82,15:34,ADL Enviro200,Arriva Interurban,,,
4071,SK15 GXR,82,15:53,ADL Enviro200,Arriva Journey Mark,Saint Helena,,
4072,SK15 GXS,7,14:49,ADL Enviro200,Arriva Journey Mark,,,
4073,SK15 GXT,85,15:08,ADL Enviro200,Arriva Journey Mark,,,
4074,SK15 GXU,3,15:56,ADL Enviro200,Arriva Journey Mark,,,
4075,SK15 GXV,X2,15:43,ADL Enviro200,Arriva Journey Mark,,,
4106,SN17 MXE,773,2 Dec 7:22,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power
4108,SN17 MXG,6,15:30,ADL Enviro200 MMC,Arriva Journey Mark,Ian Stevens,,USB power
4120,SN67 WUJ,12,15:38,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power
4121,SN67 WUK,7,13:10,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power
4126,SN67 WUR,334,25 Nov 8:50,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power
4218,KX61 LFS,286,15:47,Optare Versa,Arriva Journey Mark,,,
4219,KX12 GZD,695,15:30,Wright StreetLite DF,Arriva Journey Mark,,,
4220,KX12 GZE,182,15:19,Wright StreetLite DF,Arriva Journey Mark,,,
4221,KX12 GZF,140,15:47,Wright StreetLite DF,Arriva Journey Mark,,,
4222,KX12 GZG,132,15:27,Wright StreetLite DF,Arriva Journey Mark,,,
4223,KX12 GZH,1,14:30,Wright StreetLite DF,Arriva Journey Mark,,,
4224,GN62 HMY,191,15:24,Wright StreetLite DF,Arriva Journey Mark,,,
4261,GN64 DXR,175,15:39,Wright StreetLite DF,Arriva Journey Mark,,,
4263,GN14 DYP,116,15:32,Wright StreetLite DF,Arriva Journey Mark,,,USB power
4264,GN64 DXE,176,28 Nov 9:17,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4265,GN64 DXF,191,15:37,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4266,GN64 DXG,177,6:25,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4267,GN64 DXH,190,15:45,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4268,GN64 DXJ,190,6:35,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4269,GN64 DXK,166,15:38,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4270,GN64 DXL,132,15:46,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4271,GN64 DXM,116,15:31,Wright StreetLite DF,Arriva Journey Mark,,,power sockets
4272,GN64 DXO,175,15:54,Wright StreetLite DF,Arriva Journey Mark,,,"USB power, power sockets"
4273,GN64 DXP,166,15:25,Wright StreetLite DF,Arriva Journey Mark,Ivy Woolcock,,"power sockets, USB power"
4279,GN14 DXX,71,15:55,Wright StreetLite DF,Arriva Journey Mark,,,
4280,GN14 DXY,5,16:08,Wright StreetLite DF,Arriva Journey Mark,,,
4281,GN14 DXZ,182,15:48,Wright StreetLite DF,Arriva Journey Mark,,,
4282,GN14 DYA,5,15:10,Wright StreetLite DF,Arriva Journey Mark,,,
4283,GN14 DYB,575,15:40,Wright StreetLite DF,Arriva Journey Mark,,,
4284,GN14 DYC,7,16:00,Wright StreetLite DF,Arriva Journey Mark,,,
4289,GN15 CWG,190,15:25,Wright StreetLite DF,Arriva Journey Mark,,,
4290,GN15 CWJ,132,15:08,Wright StreetLite DF,Arriva Journey Mark,,,
4291,GN15 CWK,660,15:30,Wright StreetLite DF,Arriva Journey Mark,,,
4292,GN15 CWL,177,15:50,Wright StreetLite DF,Arriva Journey Mark,,,
4293,GN15 CWM,176,15:20,Wright StreetLite DF,Arriva Journey Mark,,,
